canonical_name,status,file_name,source,source_title,source_page_url,image_url,match_method,sha256,width,height,notes
HG 1/144 PENELOPE,downloaded,HG 1_144 PENELOPE__815d7dfd0f.jpg,dalong,Penelope,https://www.dalong.net/reviews/hg/h229/h229_p_e.htm,https://www.dalong.net/reviews/hg/h229/p/h229.jpg,exact,92cabdba136434808e72a5441a510d965c16324a77552e6e85dcb80fda21df62,1200,945,
HG 1/144 PETIT'GUY MASS PRODUCTION TYPE,not_found,,,,,,,,,,bandai_manual: GUNCANNON MASS PRODUCTION TYPE | bandai_manual: ZAKUII MASS PRODUCTION TYPE | gunpla_hobby: GUNCANNON MASS PRODUCTION TYPE
HG 1/144 PHANTOM GUNDAM,not_found,,,,,,,,,,bandai_manual: PHANTOM GUNDAM | dalong: Phantom Gundam | gunpla_hobby: PHANTOM GUNDAM
HG 1/144 PLE TWO’S QUBELEY Mk-II,not_found,,,,,,,,,,bandai_manual: PLE TWO’S QUBELEY Mk-II | gunpla_hobby: PLE TWO’S QUBELEY Mk-II | dalong: Qubeley Mk-II (Ple Two Use)
HG 1/144 PLUMA SET (INVASION OF CHRYSE),downloaded,HG 1_144 PLUMA SET (INVASION OF CHRYSE)__8fbc923dea.jpg,gunpla_hobby,PLUMA SET (INVASION OF CHRYSE),https://gunpla-hobby.com/gunpla/hg-1-144-1-144-503438,https://tshop.r10s.jp/mediaworldkaitoriworld/cabinet/6313/3/cg63133670.jpg,official_title_release_month,45761afe168d8b0abdfb88eec6a453955ea9d23cf8fd5a600a75803753bb118c,1600,1600,
HG 1/144 PMX-003 THE-O,downloaded,HG 1_144 PMX-003 THE-O__ad9222cb0a.jpg,gunpla_hangar,PMX-003 The-O,https://gunplahangar.com/kits/hguc-pmx-003-the-o,https://gunplahangar.com/img/kits/hguc-pmx-003-the-o/box-art-800.jpg,exact,bb0371cc94f301b676d1994c69384f91fb8d0a2acd72a6bef7fc9a0f3d45cf64,800,515,
HG 1/144 POLICE ZAKU,downloaded,HG 1_144 POLICE ZAKU__a950829b09.jpg,dalong,Police Zaku,https://www.dalong.net/reviews/hg/hgq02/hgq02_p_e.htm,https://www.dalong.net/reviews/hg/hgq02/p/hgq02.jpg,exact,2dc3505b8eb5229d117c96807b09560f24bb9534596927dbfb97bb9d52c4b752,1200,750,
HG 1/144 POWERED ARMS POWEREDER,downloaded,HG 1_144 POWERED ARMS POWEREDER__c9e5629b5f.jpg,dalong,Powered Arms Powereder,https://www.dalong.net/reviews/bf/bc14/bc14_p_e.htm,https://www.dalong.net/reviews/bf/bc14/p/bc14.jpg,exact,4286c77bb34b64b2df88dec6c41665578d2017c504097f4ae71e10a7fbce5446,238,300,
HG 1/144 POWERED GM CARDIGAN,downloaded,HG 1_144 POWERED GM CARDIGAN__a6aaaeb1e4.jpg,dalong,Powered GM Cardigan,https://www.dalong.net/reviews/bf/bf19/bf19_p_e.htm,https://www.dalong.net/reviews/bf/bf19/p/bf19.jpg,exact,517e27b3d6de4825e9021686292464134d6472a4480360c0327d19a4c7aa5773,300,189,
HG 1/144 PROTOTYPE GOUF (TACTICAL DEMONSTRATOR),downloaded,HG 1_144 PROTOTYPE GOUF (TACTICAL DEMONSTRATOR)__7a25753a40.jpg,dalong,Prototype Gouf [Tactical Demonstrator],https://www.dalong.net/reviews/hg/ho04/ho04_p_e.htm,https://www.dalong.net/reviews/hg/ho04/p/ho04.jpg,exact,d10df661c22bb34d120cd6767d5390400782c1c554cca139be41c4b97937cb63,300,190,
HG 1/144 PSYCHO GM,downloaded,HG 1_144 PSYCHO GM__f59c20316c.jpg,gunpla_hangar,MRXGM-009 Psycho GM,https://gunplahangar.com/kits/hgbf-mrxgm-009-psycho-gm,https://gunplahangar.com/img/kits/hgbf-mrxgm-009-psycho-gm/box-art-800.jpg,source_model_code_hangar_exact,4409edde1e7960666a31be95039a0c1b3c810945003c9ca4bd8ece729f0fdb92,769,610,
HG 1/144 PSYCHO GUNDAM,downloaded,HG 1_144 PSYCHO GUNDAM__61397211b5.jpg,dalong,Psycho Gundam,https://www.dalong.net/reviews/hg/h49/h49_p_e.htm,https://www.dalong.net/reviews/hg/h49/p/h49.jpg,exact,efec2e004384f252697f8b3df01e93610a69a6c6f1f90afa84e167c903986434,289,221,
HG 1/144 PTOLEMAIOS ARMS,downloaded,HG 1_144 PTOLEMAIOS ARMS__3aeea59dc9.jpg,dalong,Ptolemaios Arms,https://www.dalong.net/reviews/bf/bc39/bc39_p_e.htm,https://www.dalong.net/reviews/bf/bc39/p/bc39.jpg,exact,3012ef4091e4368d23b224e23fd01be9c6ca9efd61129972d9880a3864c58d89,942,1200,
HG 1/144 QUATTRO BAJEENA’S RICK DIAS,not_found,,,,,,,,,,bandai_manual: QUATTRO BAJEENA’S RICK DIAS | gunpla_hobby: QUATTRO BAJEENA’S RICK DIAS | dalong: Rick Dias (Quattro Bajeena Custom)
HG 1/144 QUBELEY,downloaded,HG 1_144 QUBELEY__1c77f5a079.jpg,gunpla_hangar,AMX-004 Qubeley,https://gunplahangar.com/kits/hguc-amx-004-qubeley,https://gunplahangar.com/img/kits/hguc-amx-004-qubeley/box-art-800.jpg,source_model_code_hangar_exact,e5211b83db2ce91b07eaad5f0e247971a2ba4fa683fb992a2de0962f03631c65,800,502,
HG 1/144 QUBELEY Mk-II,downloaded,HG 1_144 QUBELEY Mk-II__f315c9cae0.jpg,dalong,Qubeley Mk-II,https://www.dalong.net/reviews/hg/h11/h11_p_e.htm,https://www.dalong.net/reviews/hg/h11/p/h11.jpg,exact,896417c433407fe51cc6141ac648186c3371bacccfc1e56309d63bb4eb8fb592,290,178,
HG 1/144 QUBELEY PAPILLON,downloaded,HG 1_144 QUBELEY PAPILLON__06b6771d57.jpg,dalong,Qubeley Papillon,https://www.dalong.net/reviews/bf/bf11/bf11_p_e.htm,https://www.dalong.net/reviews/bf/bf11/p/bf11.jpg,exact,62268bfbae7e7d802d8f6c982b58f00baa39cefb2fc695450c0d94229cf7ca9d,300,193,
HG 1/144 R-GYAGYA,downloaded,HG 1_144 R-GYAGYA__f266611dc6.jpg,dalong,R-Gyagya,https://www.dalong.net/reviews/bf/bf24/bf24_p_e.htm,https://www.dalong.net/reviews/bf/bf24/p/bf24.jpg,exact,c443268b081b95bf67bfea8f1650cec8159a1d24e21e0bc3cd0394eb9ef2caeb,300,190,
HG 1/144 R-JARJA,downloaded,HG 1_144 R-JARJA__1fee95f4a4.jpg,dalong,R-Jarja,https://www.dalong.net/reviews/hg/h220/h220_p_e.htm,https://www.dalong.net/reviews/hg/h220/p/h220.jpg,exact,3b41be5d255d6db024cd54c2cdd58f64041df7e85fdb8bd5fd9c4d3336207a1a,1200,759,
HG 1/144 R-JARJA (Twilight AXIS Ver.),not_found,,,,,,,,,,bandai_manual: R-JARJA (Twilight AXIS Ver.) | dalong: R-Jarja (Twilight Axis Ver.) | gunpla_hobby: R-JARJA (Twilight AXIS Ver.)
HG 1/144 R01 AILE STRIKE GUNDAM,downloaded,HG 1_144 R01 AILE STRIKE GUNDAM__4547f1ebc0.jpg,bandai_manual,R01 AILE STRIKE GUNDAM,https://manual.bandai-hobby.net/menus/detail/330,https://bandai-hobby.net/images/156_5476_s_sbrh41vdjcamfeal1uj28065pd3v.jpg,official_exact,64ffe11db1d47ec19c541a45cae05a6e20427ccc80b004820e50c94dc370501a,1200,1200,
HG 1/144 R02 DUEL GUNDAM,downloaded,HG 1_144 R02 DUEL GUNDAM__e70526d2df.jpg,bandai_manual,R02 DUEL GUNDAM,https://manual.bandai-hobby.net/menus/detail/331,https://bandai-hobby.net/images/156_5477_s_e9qmg7mvh5pieixzo9eoz2jqewe1.jpg,official_exact,6e864d59d65e2619520ddfe3d00d1cb17737326b63a2cccf876ac890b34b6d0d,1200,1200,
